,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration,Physical Time: Physical Time (s)
556,556,0.000738048,0.000805124,0.673957266,99388.80824,114509.79,126656.25,101325,133128.1133,298,333.8666602,0.316468626,0.007584061,-0.052344751,1.25,2.31E-06,0.000102209,-0.087366093,0.000774296,0.000119276,0.001232977,556,
557,557,0.000720382,0.000785552,0.673963484,99388.7903,114509.8025,126656.25,101325,133128.0695,298,333.8662843,0.316468767,0.007580641,-0.052344955,1.25,2.30E-06,9.83E-05,-0.087365782,0.000756521,0.00011695,0.001208504,557,
558,558,0.000704042,0.000767453,0.673969005,99388.83453,114509.8119,126656.25,101325,133128.0254,298,333.8659453,0.31646886,0.007578017,-0.052345109,1.25,2.30E-06,9.49E-05,-0.087365469,0.000739683,0.000114712,0.001185161,558,
559,559,0.00070346,0.000766847,0.673962168,99388.81145,114509.8208,126656.25,101325,133127.9352,298,333.8662165,0.316467725,0.007580845,-0.052344772,1.25,2.30E-06,9.45E-05,-0.087365058,0.000735249,0.000114148,0.001175045,559,
560,560,0.000687215,0.000748859,0.673967908,99388.79492,114509.8273,126656.25,101325,133127.8905,298,333.8658652,0.316467741,0.007577415,-0.052344956,1.25,2.29E-06,9.11E-05,-0.087364736,0.000718891,0.000111981,0.001152445,560,
561,561,0.000672151,0.00073219,0.673972771,99388.83786,114509.8272,126656.25,101325,133127.8453,298,333.8655601,0.316467701,0.007574735,-0.05234509,1.25,2.29E-06,8.80E-05,-0.087364412,0.000703363,0.000109888,0.001130798,561,
562,562,0.000671395,0.000731402,0.673966011,99388.81699,114509.8304,126656.25,101325,133127.7589,298,333.8658312,0.316466557,0.007577326,-0.052344764,1.25,2.30E-06,8.76E-05,-0.087363997,0.000699031,0.000109294,0.001121239,562,
563,563,0.000656485,0.000714905,0.673971232,99388.86143,114509.8166,126656.25,101325,133127.7153,298,333.8655086,0.316466515,0.007574103,-0.052344928,1.25,2.29E-06,8.46E-05,-0.087363667,0.000683958,0.000107277,0.001100164,563,
564,564,0.000656047,0.000714482,0.673964462,99388.83768,114509.8184,126656.25,101325,133127.6218,298,333.865773,0.316465074,0.007575813,-0.052344599,1.25,2.30E-06,8.44E-05,-0.087363231,0.000680118,0.000106741,0.001091329,564,
565,565,0.000641203,0.000698066,0.673969921,99388.82082,114509.8159,126656.25,101325,133127.5798,298,333.8654393,0.316465028,0.00757233,-0.052344775,1.25,2.29E-06,8.14E-05,-0.08736289,0.000665471,0.000104774,0.001070788,565,
566,566,0.00062739,0.0006828,0.673974825,99388.86183,114509.8034,126656.25,101325,133127.5376,298,333.8651351,0.31646494,0.007569619,-0.052344903,1.25,2.29E-06,7.89E-05,-0.087362551,0.000651546,0.000102865,0.00105108,566,
567,567,0.000626432,0.000681815,0.673968591,99388.84191,114509.7991,126656.25,101325,133127.454,298,333.8653811,0.3164637,0.007571718,-0.052344588,1.25,2.30E-06,7.85E-05,-0.087362125,0.000647536,0.000102257,0.001042332,567,
568,568,0.000612695,0.000666637,0.673973679,99388.827,114509.7905,126656.25,101325,133127.4114,298,333.8650667,0.316463542,0.00756832,-0.052344741,1.25,2.29E-06,7.59E-05,-0.087361777,0.000633969,0.000100412,0.001023056,568,
569,569,0.0005999,0.000652509,0.673978033,99388.86764,114509.7764,126656.25,101325,133127.3677,298,333.8647901,0.316463307,0.007565474,-0.052344852,1.25,2.29E-06,7.36E-05,-0.087361428,0.000621067,9.86E-05,0.001004518,569,
570,570,0.00059876,0.000651333,0.673972075,99388.84881,114509.7676,126656.25,101325,133127.2894,298,333.8650268,0.316462121,0.007567644,-0.052344541,1.25,2.30E-06,7.33E-05,-0.087360999,0.000617174,9.80E-05,0.000996055,570,
571,571,0.000586006,0.000637252,0.673976768,99388.83567,114509.7557,126656.25,101325,133127.2476,298,333.8647343,0.316461902,0.007564356,-0.052344679,1.25,2.29E-06,7.10E-05,-0.087360642,0.000604588,9.63E-05,0.000977866,571,
572,572,0.000574139,0.000624164,0.673980749,99388.87483,114509.7367,126656.25,101325,133127.2054,298,333.8644791,0.316461625,0.007561654,-0.052344775,1.25,2.29E-06,6.91E-05,-0.087360286,0.000592588,9.46E-05,0.000960331,572,
573,573,0.000572963,0.00062296,0.673975019,99388.85821,114509.7301,126656.25,101325,133127.1295,298,333.8647061,0.316460412,0.007563649,-0.052344469,1.25,2.30E-06,6.89E-05,-0.087359849,0.000588908,9.40E-05,0.000952177,573,
574,574,0.000560917,0.000609675,0.673979467,99388.84633,114509.719,126656.25,101325,133127.093,298,333.864432,0.316460278,0.007560912,-0.052344592,1.25,2.29E-06,6.70E-05,-0.087359486,0.000577142,9.24E-05,0.000934891,574,
575,575,0.000549642,0.00059725,0.673983285,99388.88573,114509.692,126656.25,101325,133127.0557,298,333.8641906,0.316460082,0.007558703,-0.052344676,1.25,2.29E-06,6.54E-05,-0.087359127,0.000565872,9.08E-05,0.000918163,575,
576,576,0.000548838,0.000596473,0.673977121,99388.86999,114509.6796,126656.25,101325,133126.9661,298,333.8644267,0.31645831,0.007559095,-0.052344362,1.25,2.30E-06,6.55E-05,-0.087358684,0.000562567,9.02E-05,0.00091055,576,
577,577,0.000537592,0.000584083,0.67398113,99388.9082,114509.6583,126656.25,101325,133126.9265,298,333.8641726,0.316457986,0.007555956,-0.052344474,1.25,2.29E-06,6.38E-05,-0.087358315,0.000551514,8.87E-05,0.000894036,577,
578,578,0.000536477,0.000582957,0.673975808,99388.89069,114509.6477,126656.25,101325,133126.8557,298,333.8643832,0.316456791,0.007557779,-0.05234418,1.25,2.29E-06,6.40E-05,-0.087357868,0.000548156,8.81E-05,0.000886372,578,
579,579,0.0005253,0.000570649,0.673980038,99388.87821,114509.6339,126656.25,101325,133126.8188,298,333.8641202,0.316456511,0.007554594,-0.052344302,1.25,2.29E-06,6.24E-05,-0.087357503,0.000537341,8.66E-05,0.000870104,579,
580,580,0.000514847,0.000559149,0.673983726,99388.91472,114509.6162,126656.25,101325,133126.7808,298,333.8638851,0.316456163,0.00755192,-0.052344385,1.25,2.29E-06,6.12E-05,-0.087357142,0.000526994,8.52E-05,0.000854353,580,
581,581,0.000513794,0.000558104,0.673978607,99388.89838,114509.6037,126656.25,101325,133126.7121,298,333.864087,0.316454946,0.007553617,-0.052344094,1.25,2.29E-06,6.14E-05,-0.087356705,0.000523749,8.46E-05,0.000846855,581,
582,582,0.000503364,0.000546632,0.673982744,99388.93515,114509.5857,126656.25,101325,133126.6764,298,333.8638302,0.316454635,0.007550589,-0.052344203,1.25,2.29E-06,6.02E-05,-0.087356338,0.000513578,8.32E-05,0.000831285,582,
583,583,0.000502331,0.00054561,0.673977676,99388.91729,114509.5755,126656.25,101325,133126.6103,298,333.8640321,0.316453452,0.007552212,-0.052343921,1.25,2.29E-06,6.05E-05,-0.087355895,0.00051044,8.26E-05,0.000823948,583,
584,584,0.000491956,0.000534202,0.673981833,99388.95421,114509.5563,126656.25,101325,133126.5755,298,333.8637752,0.316453126,0.007548949,-0.05234404,1.25,2.29E-06,5.94E-05,-0.087355529,0.000500455,8.12E-05,0.000808594,584,
585,585,0.00049099,0.000533256,0.673976701,99388.93507,114509.549,126656.25,101325,133126.5069,298,333.8639779,0.316451816,0.00755014,-0.05234376,1.25,2.29E-06,5.98E-05,-0.087355088,0.000497486,8.07E-05,0.000801513,585,
586,586,0.000480621,0.00052181,0.673981175,99388.97108,114509.5366,126656.25,101325,133126.4763,298,333.8637084,0.316451594,0.007547094,-0.052343884,1.25,2.29E-06,5.87E-05,-0.08735473,0.000487676,7.93E-05,0.000786366,586,
587,587,0.000479637,0.000520813,0.673976578,99388.95016,114509.5248,126656.25,101325,133126.4122,298,333.8638872,0.316450394,0.007548409,-0.052343616,1.25,2.29E-06,5.92E-05,-0.087354297,0.000484754,7.88E-05,0.000779406,587,
588,588,0.000469378,0.000509509,0.673981108,99388.98478,114509.5149,126656.25,101325,133126.3809,298,333.8636141,0.316450108,0.00754509,-0.052343744,1.25,2.29E-06,5.82E-05,-0.087353944,0.000475098,7.74E-05,0.000764466,588,
589,589,0.000468237,0.000508352,0.673977066,99389.02071,114509.5058,126656.25,101325,133126.3256,298,333.8637725,0.316449164,0.007546957,-0.052343489,1.25,2.29E-06,5.88E-05,-0.087353517,0.000472101,7.69E-05,0.000757488,589,
590,590,0.000467205,0.000507316,0.673972968,99388.99339,114509.4992,126656.25,101325,133126.2733,298,333.8639369,0.316448318,0.007549042,-0.052343239,1.25,2.29E-06,5.94E-05,-0.087353075,0.000469264,7.64E-05,0.000750769,590,
591,591,0.000456542,0.000495575,0.673978267,99389.0327,114509.4837,126656.25,101325,133126.2467,298,333.8636277,0.316448143,0.007545413,-0.052343402,1.25,2.29E-06,5.83E-05,-0.087352737,0.000459562,7.51E-05,0.000735836,591,
592,592,0.000456116,0.00049523,0.673973499,99389.00537,114509.477,126656.25,101325,133126.1776,298,333.8638105,0.316446696,0.007546025,-0.05234313,1.25,2.29E-06,5.91E-05,-0.087352311,0.000457121,7.46E-05,0.000729695,592,
593,593,0.000445654,0.000483717,0.673978797,99389.04132,114509.4657,126656.25,101325,133126.1516,298,333.8635019,0.316446503,0.007542371,-0.052343291,1.25,2.29E-06,5.80E-05,-0.087351983,0.000447581,7.33E-05,0.000714977,593,
594,594,0.000444885,0.000482991,0.673974954,99389.01442,114509.4615,126656.25,101325,133126.0983,298,333.8636516,0.316445549,0.007544122,-0.052343041,1.25,2.29E-06,5.87E-05,-0.087351574,0.000444926,7.28E-05,0.000708662,594,
595,595,0.000434688,0.000471776,0.673980148,99389.04933,114509.4462,126656.25,101325,133126.0749,298,333.8633513,0.316445408,0.007540642,-0.052343201,1.25,2.29E-06,5.76E-05,-0.087351256,0.000435576,7.16E-05,0.000694218,595,
596,596,0.000434096,0.00047125,0.673976248,99389.02596,114509.4181,126656.25,101325,133126.0198,298,333.8635023,0.316444356,0.007542034,-0.052342954,1.25,2.29E-06,5.85E-05,-0.087350857,0.000433007,7.11E-05,0.000688114,596,
597,597,0.000433979,0.000471269,0.673975551,99389.00383,114509.4205,126656.25,101325,133125.9746,298,333.8634929,0.31644372,0.007542492,-0.052342824,1.25,2.29E-06,5.94E-05,-0.087350532,0.000431265,7.06E-05,0.000682733,597,
598,598,0.000423462,0.000459697,0.673980801,99389.04205,114509.3941,126656.25,101325,133125.9542,298,333.8631926,0.316443632,0.00753885,-0.052343002,1.25,2.29E-06,5.82E-05,-0.087350227,0.000421822,6.94E-05,0.000668295,598,
599,599,0.000422837,0.000459131,0.673976646,99389.01856,114509.3938,126656.25,101325,133125.8906,298,333.8633486,0.316442252,0.007539172,-0.052342757,1.25,2.29E-06,5.89E-05,-0.087349841,0.000419218,6.89E-05,0.000662354,599,
600,600,0.000412615,0.000447886,0.673981702,99389.05284,114509.3791,126656.25,101325,133125.8699,298,333.8630583,0.316442119,0.007535483,-0.052342929,1.25,2.29E-06,5.78E-05,-0.087349551,0.000410001,6.77E-05,0.000648201,600,
601,601,0.000411471,0.000446742,0.673978969,99389.02855,114509.3786,126656.25,101325,133125.831,298,333.8631638,0.316441536,0.007537703,-0.052342716,1.25,2.29E-06,5.82E-05,-0.087349185,0.000407131,6.72E-05,0.000642001,601,
602,602,0.000401594,0.000435883,0.673983943,99389.06699,114509.3497,126656.25,101325,133125.8131,298,333.8628808,0.316441466,0.007534302,-0.052342883,1.25,2.29E-06,5.72E-05,-0.087348906,0.000398168,6.60E-05,0.000628196,602,
603,603,0.000401291,0.00043568,0.673979938,99389.04096,114509.3492,126656.25,101325,133125.7493,298,333.8630284,0.316440016,0.007534304,-0.052342643,1.25,2.29E-06,5.78E-05,-0.087348542,0.000395817,6.55E-05,0.000622792,603,
604,604,0.000391527,0.000424946,0.673985052,99389.07394,114509.3352,126656.25,101325,133125.7343,298,333.8627409,0.316440014,0.007531011,-0.052342817,1.25,2.29E-06,5.67E-05,-0.087348275,0.000387016,6.44E-05,0.000609248,604,
605,605,0.000390364,0.000423778,0.673982192,99389.04097,114509.2972,126656.25,101325,133125.6978,298,333.8628557,0.316439437,0.00753295,-0.052342619,1.25,2.29E-06,5.73E-05,-0.087347941,0.000384142,6.39E-05,0.000603268,605,
606,606,0.00038958,0.000423057,0.673982216,99389.01987,114509.2945,126656.25,101325,133125.6547,298,333.8628102,0.316438717,0.00753213,-0.052342543,1.25,2.29E-06,5.80E-05,-0.087347694,0.000381996,6.34E-05,0.000597998,606,
607,607,0.000379751,0.000412249,0.673987223,99389.0473,114509.2868,126656.25,101325,133125.6374,298,333.8625259,0.316438597,0.007528247,-0.052342728,1.25,2.29E-06,5.67E-05,-0.087347437,0.000373254,6.22E-05,0.000584605,607,
608,608,0.000377241,0.000409572,0.673985973,99389.02609,114509.2806,126656.25,101325,133125.624,298,333.8625788,0.316438739,0.007531216,-0.052342595,1.25,2.29E-06,5.68E-05,-0.087347134,0.000369543,6.17E-05,0.000577716,608,
609,609,0.000368015,0.000399437,0.673990557,99389.05729,114509.2598,126656.25,101325,133125.6075,298,333.8623178,0.316438612,0.007527768,-0.052342756,1.25,2.29E-06,5.56E-05,-0.087346892,0.000361173,6.05E-05,0.000564819,609,
610,610,0.000366586,0.000397971,0.673987744,99389.09655,114509.2376,126656.25,101325,133125.5676,298,333.8624267,0.316437838,0.007528565,-0.052342586,1.25,2.29E-06,5.60E-05,-0.087346598,0.00035815,6.00E-05,0.000558892,610,
611,611,0.00036621,0.000397667,0.673984141,99389.06729,114509.2311,126656.25,101325,133125.5295,298,333.8625793,0.316437142,0.007530223,-0.052342383,1.25,2.29E-06,5.64E-05,-0.087346287,0.000355895,5.96E-05,0.000554038,611,
612,612,0.000356746,0.000387265,0.673989213,99389.04385,114509.1917,126656.25,101325,133125.5168,298,333.8622964,0.316437116,0.007526543,-0.052342573,1.25,2.29E-06,5.52E-05,-0.087346064,0.000347593,5.85E-05,0.000541272,612,
613,613,0.000355414,0.000385925,0.673989235,99389.02503,114509.1851,126656.25,101325,133125.4797,298,333.8622572,0.316436469,0.007525623,-0.052342515,1.25,2.29E-06,5.55E-05,-0.087345876,0.000345065,5.79E-05,0.000535954,613,
614,614,0.000346446,0.00037607,0.673993657,99389.04967,114509.1715,126656.25,101325,133125.4678,298,333.8620097,0.316436438,0.007522372,-0.052342681,1.25,2.29E-06,5.42E-05,-0.08734566,0.000337041,5.69E-05,0.000523606,614,
615,615,0.000343947,0.000373401,0.673992474,99389.08381,114509.1394,126656.25,101325,133125.4593,298,333.8620638,0.316436636,0.007525128,-0.052342568,1.25,2.29E-06,5.41E-05,-0.08734541,0.000333431,5.63E-05,0.000517117,615,
616,616,0.000342998,0.000372456,0.673989448,99389.05905,114509.1331,126656.25,101325,133125.4227,298,333.8621873,0.316435914,0.007526125,-0.052342396,1.25,2.29E-06,5.44E-05,-0.087345142,0.00033086,5.58E-05,0.000512073,616,
617,617,0.000334074,0.000362651,0.67399414,99389.09326,114509.099,126656.25,101325,133125.4153,298,333.8619301,0.316436007,0.00752301,-0.052342576,1.25,2.29E-06,5.30E-05,-0.087344943,0.000323014,5.48E-05,0.000500048,617,
618,618,0.000333335,0.00036194,0.673991081,99389.06686,114509.0911,126656.25,101325,133125.3814,298,333.862058,0.316435353,0.007524332,-0.052342398,1.25,2.29E-06,5.32E-05,-0.087344699,0.000320625,5.43E-05,0.000495335,618,
619,619,0.000324679,0.000352432,0.673995619,99389.0433,114509.0443,126656.25,101325,133125.3748,298,333.8618098,0.316435448,0.007521294,-0.052342574,1.25,2.29E-06,5.19E-05,-0.087344513,0.000312999,5.33E-05,0.000483638,619,
620,620,0.000323096,0.000350802,0.673995747,99389.04483,114509.0016,126656.25,101325,133125.3462,298,333.8617737,0.316434988,0.007520532,-0.052342538,1.25,2.29E-06,5.22E-05,-0.087344373,0.00031038,5.27E-05,0.000478605,620,
621,621,0.000321972,0.000349662,0.673994598,99389.02747,114508.9969,126656.25,101325,133125.3252,298,333.8618132,0.316434772,0.007521456,-0.052342454,1.25,2.29E-06,5.22E-05,-0.087344186,0.000307995,5.23E-05,0.000474012,621,
622,622,0.00031338,0.000340219,0.673998879,99389.05781,114508.9464,126656.25,101325,133125.3204,298,333.8615805,0.316434896,0.007518585,-0.052342625,1.25,2.29E-06,5.08E-05,-0.087344008,0.000300507,5.13E-05,0.000462606,622,
623,623,0.00031165,0.000338402,0.673995812,99389.03879,114508.9364,126656.25,101325,133125.2733,298,333.8616954,0.316433714,0.007517362,-0.052342494,1.25,2.29E-06,5.01E-05,-0.087343787,0.000297518,5.08E-05,0.000457306,623,
624,624,0.00030343,0.000329374,0.673999943,99389.06291,114508.9075,126656.25,101325,133125.2661,298,333.8614683,0.31643374,0.007514413,-0.052342654,1.25,2.29E-06,4.89E-05,-0.08734362,0.000290308,4.98E-05,0.00044628,624,
625,625,0.000301047,0.000326822,0.673998576,99389.03851,114508.8516,126656.25,101325,133125.2592,298,333.8615339,0.316433883,0.007516681,-0.052342558,1.25,2.29E-06,4.82E-05,-0.087343427,0.00028699,4.92E-05,0.00044061,625,
626,626,0.000299648,0.000325381,0.673998322,99389.02287,114508.8415,126656.25,101325,133125.2329,298,333.8615205,0.316433448,0.007515921,-0.052342526,1.25,2.29E-06,4.85E-05,-0.087343309,0.000284647,4.87E-05,0.000436228,626,
627,627,0.000291586,0.000316523,0.674002169,99389.04552,114508.8139,126656.25,101325,133125.2248,298,333.8613074,0.316433415,0.007512786,-0.052342686,1.25,2.29E-06,4.73E-05,-0.08734315,0.000277629,4.78E-05,0.000425526,627,
628,628,0.000288839,0.000313562,0.674001246,99389.0294,114508.8016,126656.25,101325,133125.2239,298,333.8613556,0.316433727,0.007515193,-0.052342611,1.25,2.29E-06,4.69E-05,-0.08734297,0.000274138,4.72E-05,0.000419706,628,
629,629,0.000281282,0.000305266,0.674004837,99389.05429,114508.7612,126656.25,101325,133125.2184,298,333.861159,0.316433766,0.007512641,-0.052342752,1.25,2.29E-06,4.58E-05,-0.087342822,0.000267463,4.63E-05,0.000409488,629,
630,630,0.000279195,0.000303042,0.674002917,99389.03135,114508.707,126656.25,101325,133125.1972,298,333.8612393,0.31643338,0.007513381,-0.052342649,1.25,2.29E-06,4.52E-05,-0.087342648,0.000264437,4.58E-05,0.00040432,630,
631,631,0.000277464,0.000301223,0.674002686,99389.01791,114508.6948,126656.25,101325,133125.1745,298,333.8612284,0.316433004,0.00751259,-0.052342629,1.25,2.29E-06,4.52E-05,-0.087342544,0.000261934,4.53E-05,0.000399884,631,
632,632,0.000270011,0.000293037,0.674005934,99389.04132,114508.6583,126656.25,101325,133125.1661,298,333.8610469,0.31643292,0.007509578,-0.052342774,1.25,2.29E-06,4.41E-05,-0.087342399,0.000255437,4.44E-05,0.000389968,632,
633,633,0.000267561,0.0002904,0.674004744,99389.02469,114508.6089,126656.25,101325,133125.1617,298,333.8611057,0.316433071,0.007511651,-0.052342689,1.25,2.29E-06,4.34E-05,-0.087342234,0.000252262,4.38E-05,0.000384691,633,
634,634,0.000265556,0.000288269,0.674004575,99389.01301,114508.5966,126656.25,101325,133125.1451,298,333.8610977,0.316432864,0.007511367,-0.05234267,1.25,2.29E-06,4.34E-05,-0.08734213,0.000249621,4.33E-05,0.000380177,634,
635,635,0.000258342,0.000280345,0.674007642,99389.03609,114508.5558,126656.25,101325,133125.1373,298,333.8609265,0.316432781,0.007508509,-0.052342807,1.25,2.29E-06,4.23E-05,-0.087341993,0.000243367,4.25E-05,0.00037065,635,
636,636,0.000255957,0.000277779,0.674005953,99389.02078,114508.5052,126656.25,101325,133125.1203,298,333.8609989,0.316432482,0.007509167,-0.052342723,1.25,2.29E-06,4.17E-05,-0.087341835,0.000240305,4.19E-05,0.000365584,636,
637,637,0.00025388,0.000275563,0.674005773,99389.00922,114508.4963,126656.25,101325,133125.1,298,333.8609877,0.316432129,0.00750838,-0.052342706,1.25,2.29E-06,4.16E-05,-0.087341741,0.000237684,4.14E-05,0.000361161,637,
638,638,0.000246884,0.000267878,0.674008758,99389.03269,114508.4567,126656.25,101325,133125.0957,298,333.8608244,0.316432145,0.007505828,-0.052342843,1.25,2.29E-06,4.05E-05,-0.087341611,0.000231671,4.06E-05,0.000352014,638,
639,639,0.000244257,0.000265037,0.674007598,99389.02555,114508.4066,126656.25,101325,133125.0881,298,333.8608784,0.316432143,0.007507209,-0.05234277,1.25,2.29E-06,3.97E-05,-0.087341464,0.000228518,4.01E-05,0.00034689,639,
640,640,0.000242171,0.000262806,0.674006998,99389.01394,114508.3988,126656.25,101325,133125.065,298,333.8608866,0.316431661,0.007506304,-0.052342738,1.25,2.29E-06,3.97E-05,-0.087341366,0.000225923,3.96E-05,0.000342572,640,
641,641,0.000235386,0.000255351,0.674009807,99389.03448,114508.3637,126656.25,101325,133125.0606,298,333.8607326,0.316431661,0.007503805,-0.05234287,1.25,2.29E-06,3.86E-05,-0.087341242,0.000220136,3.87E-05,0.000333789,641,
642,642,0.00023265,0.000252385,0.67400901,99389.02486,114508.3168,126656.25,101325,133125.0604,298,333.8607748,0.316431883,0.00750566,-0.052342809,1.25,2.29E-06,3.79E-05,-0.087341105,0.000216954,3.82E-05,0.000328699,642,
643,643,0.000230599,0.000250188,0.674008521,99389.01331,114508.3071,126656.25,101325,133125.0386,298,333.8607785,0.316431431,0.007504728,-0.052342783,1.25,2.29E-06,3.77E-05,-0.087341017,0.000214401,3.77E-05,0.000324498,643,
644,644,0.000224171,0.000243127,0.674011176,99389.03264,114508.2784,126656.25,101325,133125.034,298,333.8606325,0.316431407,0.007502279,-0.052342908,1.25,2.29E-06,3.68E-05,-0.087340899,0.000208878,3.69E-05,0.000316116,644,
645,645,0.000221488,0.000240216,0.674010474,99389.0619,114508.2342,126656.25,101325,133125.0355,298,333.8606714,0.316431672,0.007504159,-0.052342853,1.25,2.29E-06,3.60E-05,-0.087340771,0.000205793,3.64E-05,0.000311202,645,
646,646,0.000219949,0.000238572,0.674008346,99389.04373,114508.211,126656.25,101325,133125.0182,298,333.8607669,0.316431332,0.007505096,-0.052342747,1.25,2.29E-06,3.60E-05,-0.087340628,0.000203474,3.60E-05,0.000307368,646,
647,647,0.00021621,0.00023449,0.674009527,99389.04325,114508.1638,126656.25,101325,133124.9982,298,333.8606835,0.316430879,0.007502249,-0.052342823,1.25,2.29E-06,3.56E-05,-0.087340555,0.000199957,3.54E-05,0.000301887,647,
648,648,0.000214289,0.000232428,0.674008507,99389.04587,114508.1293,126656.25,101325,133124.9774,298,333.8607164,0.31643043,0.007501699,-0.052342777,1.25,2.29E-06,3.54E-05,-0.087340456,0.000197572,3.49E-05,0.000297991,648,
649,649,0.00021127,0.000229142,0.674008351,99389.06283,114508.1115,126656.25,101325,133124.9645,298,333.8607115,0.316430214,0.007501185,-0.052342769,1.25,2.29E-06,3.49E-05,-0.087340343,0.000194472,3.44E-05,0.000293104,649,
650,650,0.000208231,0.000225823,0.674008291,99389.04496,114508.1058,126656.25,101325,133124.9776,298,333.8607282,0.316430856,0.007503728,-0.052342741,1.25,2.29E-06,3.43E-05,-0.087340215,0.000191356,3.39E-05,0.000288235,650,
651,651,0.000201954,0.000218927,0.674011235,99389.03046,114508.0639,126656.25,101325,133124.9761,298,333.86057,0.316430921,0.007501466,-0.052342871,1.25,2.28E-06,3.34E-05,-0.087340116,0.000186187,3.32E-05,0.000280439,651,
652,652,0.000200611,0.000217506,0.674010681,99389.01829,114508.0598,126656.25,101325,133124.9667,298,333.8605898,0.316430868,0.00750209,-0.052342829,1.25,2.29E-06,3.29E-05,-0.087340066,0.000184349,3.27E-05,0.00027738,652,
653,653,0.000194657,0.000210964,0.67401338,99389.04037,114508.0232,126656.25,101325,133124.9662,298,333.8604456,0.316430958,0.007500034,-0.052342952,1.25,2.28E-06,3.20E-05,-0.087339964,0.000179377,3.20E-05,0.000269889,653,
654,654,0.000192387,0.000208503,0.674011782,99389.02435,114507.9756,126656.25,101325,133124.9429,298,333.8605068,0.31643036,0.007499432,-0.052342885,1.25,2.29E-06,3.15E-05,-0.087339843,0.000176739,3.15E-05,0.000265669,654,
655,655,0.000191026,0.000207057,0.674011106,99389.02914,114507.9438,126656.25,101325,133124.9245,298,333.8605239,0.316429999,0.007499011,-0.052342848,1.25,2.29E-06,3.15E-05,-0.08733978,0.000174941,3.11E-05,0.000262695,655,
656,656,0.000188276,0.000204061,0.674010786,99389.03246,114507.9161,126656.25,101325,133124.9117,298,333.8605278,0.316429766,0.007498539,-0.052342834,1.25,2.28E-06,3.12E-05,-0.087339671,0.000172163,3.06E-05,0.000258351,656,
657,657,0.000185288,0.0002008,0.674010787,99389.04214,114507.9088,126656.25,101325,133124.9011,298,333.8605169,0.316429595,0.007498061,-0.052342831,1.25,2.28E-06,3.07E-05,-0.087339568,0.000169254,3.02E-05,0.000253824,657,
658,658,0.000181562,0.000196715,0.674011602,99389.03186,114507.8934,126656.25,101325,133124.9158,298,333.8604886,0.316430245,0.007499793,-0.052342847,1.25,2.29E-06,2.99E-05,-0.087339456,0.000165865,2.96E-05,0.000248646,658,
659,659,0.00017858,0.00019346,0.67401242,99389.02018,114507.8885,126656.25,101325,133124.9123,298,333.8604414,0.316430317,0.007499393,-0.05234288,1.25,2.29E-06,2.93E-05,-0.087339393,0.000163059,2.91E-05,0.000244312,659,
660,660,0.000173069,0.000187405,0.674014961,99389.02585,114507.8559,126656.25,101325,133124.907,298,333.8603008,0.316430232,0.007496997,-0.052342993,1.25,2.28E-06,2.87E-05,-0.087339301,0.000158509,2.84E-05,0.000237481,660,
661,661,0.000171072,0.000185245,0.674013933,99389.03327,114507.8252,126656.25,101325,133124.8894,298,333.8603374,0.31642983,0.00749658,-0.052342948,1.25,2.29E-06,2.82E-05,-0.087339218,0.000156251,2.80E-05,0.000233888,661,
662,662,0.000168849,0.000182829,0.674013269,99389.03871,114507.7937,126656.25,101325,133124.8753,298,333.8603583,0.316429541,0.007496277,-0.052342916,1.25,2.28E-06,2.81E-05,-0.087339116,0.000153847,2.76E-05,0.00023011,662,
663,663,0.000166627,0.000180412,0.674012604,99389.04737,114507.7897,126656.25,101325,133124.8606,298,333.8603786,0.316429229,0.007495854,-0.052342887,1.25,2.28E-06,2.79E-05,-0.087339016,0.000151469,2.71E-05,0.00022638,663,
664,664,0.000163253,0.00017671,0.674013548,99389.03594,114507.7777,126656.25,101325,133124.8784,298,333.8603466,0.316429971,0.007497888,-0.052342902,1.25,2.29E-06,2.74E-05,-0.087338906,0.000148387,2.66E-05,0.000221715,664,
665,665,0.000160444,0.000173642,0.674014389,99389.02645,114507.7674,126656.25,101325,133124.8731,298,333.8602965,0.316429969,0.00749717,-0.05234294,1.25,2.28E-06,2.69E-05,-0.087338844,0.000145774,2.62E-05,0.000217721,665,
