,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration,Physical Time: Physical Time (s)
47,47,1.072344875,1.097605857,1.391854554,101375.4727,111605.8207,107005.6117,101325.3703,128161.0202,298.887211,313.7973051,-0.63409508,1.000224332,-2.37E-05,1.056059419,0.000626117,0.05045897,-0.356433971,0.264614632,0.226633246,0.357856944,47,
48,48,1.107195791,1.129737456,1.378742828,101368.6778,112404.0479,106952.9969,101325.3388,128166.7659,298.7947036,313.844922,-0.635180748,1.000429052,-4.54E-05,1.055540481,0.000636071,0.050261711,-0.32819433,0.263031796,0.21365523,0.362650191,48,
49,49,1.173108555,1.192531213,1.371458848,101357.1098,113097.8852,106910.4633,101325.3257,128170.4491,298.7526364,313.8825795,-0.63610466,1.000539244,-5.72E-05,1.055120845,0.000619622,0.05000803,-0.300680863,0.264693219,0.201011227,0.372081157,49,
50,50,1.279778665,1.296001277,1.371114626,101341.5912,113654.7666,106881.4068,101325.3372,128171.6108,298.7717942,313.9071021,-0.636819855,1.000488945,-5.19E-05,1.054833961,0.000582564,0.049664989,-0.274304345,0.271308729,0.188755549,0.385998521,50,
51,51,1.439844246,1.453429269,1.372186026,101322.8991,114060.5867,106869.0567,101325.3478,128170.3705,298.7919663,313.9158269,-0.637291522,1.000439474,-4.67E-05,1.054711965,0.000646737,0.049191947,-0.249352533,0.286339435,0.177132522,0.404210967,51,
52,52,1.652128398,1.664297855,1.374826511,101305.1705,114308.4382,106876.6913,101325.3571,128166.7921,298.8120658,313.9060347,-0.637477931,1.000393076,-4.18E-05,1.054787216,0.000892105,0.048570671,-0.226085927,0.314207914,0.166514113,0.426187412,52,
53,53,1.919767671,1.932097936,1.380175173,101286.7486,114402.0503,106904.5217,101325.3721,128161.6628,298.8437269,313.878137,-0.637375794,1.000319557,-3.39E-05,1.055061724,0.001056605,0.047789916,-0.20466157,0.362516081,0.157232091,0.456354099,53,
54,54,2.21033519,2.224384499,1.383615091,101264.1878,114353.4823,106955.8664,101325.3723,128155.0552,298.8361843,313.8294349,-0.636938553,1.000335248,-3.56E-05,1.055568453,0.000994185,0.0468523,-0.185149398,0.434182846,0.149293494,0.500982276,54,
55,55,2.491704425,2.508343386,1.389579605,101233.9976,114183.7233,107034.8641,101325.3789,128147.5154,298.8320204,313.756837,-0.636117642,1.00033624,-3.56E-05,1.056348026,0.000915973,0.045762107,-0.16748147,0.521666586,0.142359656,0.56168396,55,
56,56,2.732170406,2.75152223,1.379844732,101195.1646,113904.736,107150.2228,101325.3051,128138.0849,298.6369698,313.6524529,-0.634791816,1.000865761,-9.16E-05,1.057487295,0.001216039,0.044525787,-0.151663667,0.608534807,0.136230793,0.632926682,56,
57,57,2.913541093,2.935290079,1.381426741,101144.3548,113549.3566,107305.0451,101325.2782,128128.2726,298.527193,313.5149285,-0.632909641,1.001183626,-0.000124855,1.059015549,0.001378008,0.043137691,-0.137590107,0.678010198,0.130979736,0.705634723,57,
58,58,3.039775044,3.063817472,1.375007769,101079.8886,113143.4664,107513.8106,101325.1788,128116.0886,298.2914536,313.3310279,-0.630254705,1.002543192,-0.000267143,1.061076939,0.001372993,0.041592554,-0.12518896,0.719041583,0.127364042,0.77327073,58,
59,59,3.125402869,3.152484534,1.383846357,101000.5374,112713.6156,107787.1086,101325.1155,128103.4733,298.1630559,313.0936995,-0.626663182,1.004076912,-0.000425808,1.06377484,0.001452778,0.0399216,-0.114345355,0.739737293,0.12713264,0.834613852,59,
60,60,3.180592236,3.212364646,1.405885392,100898.3119,112234.6473,108146.6863,101325.0781,128090.2492,298.0985915,312.7853374,-0.62179935,1.005299867,-0.000549242,1.067323987,0.001514643,0.038144049,-0.104942048,0.751076654,0.131561484,0.89676877,60,
61,61,3.159109676,3.200568261,1.439972504,100803.3261,111856.2001,108648.5497,101325.0318,128080.761,298.0327055,312.3639616,-0.614773442,1.009808504,-0.001005001,1.072277479,0.001509087,0.036293688,-0.097082402,0.757992969,0.141836438,0.965864411,61,
62,62,3.05786981,3.106311222,1.474846072,100759.1721,111630.5392,109079.9999,101325.0219,128102.8249,298.0221624,312.0246926,-0.608698074,1.010872391,-0.001103001,1.076535666,0.001298988,0.034588442,-0.090222681,0.753807329,0.148449315,1.006405502,62,
63,63,2.671252495,2.717830967,1.47027,100713.0997,111383.1691,109054.8527,101325.0193,128199.1022,298.0194806,312.1119967,-0.609333873,1.010992827,-0.001116384,1.07628751,0.000990329,0.032953012,-0.084747958,0.687236915,0.130490435,0.925397955,63,
